SV,UMV,LMV,X/T_WV,FL_WV,PHV,THV,THSKV,THSGIV,THSGIHV,GIHV,SSSVStatus,TxA,B Annulus, Natural Flowing,Communication,Complex vs Satellite,Conductor Vibration, Ship Lane Hazard, Structure Problem,Resort Proximity,H2S PPM, BOPD Impact,G.Gas  MMSCFD,RISK Category
L,H,H,H,H,H,NT,H,NT,NA,NA,H,Y,0,Y,Y,S,N,N,N,N,0,231,1.5,Cat 2
H,H,L,L,H,H,NA,H,NT,NA,NA,H,N,650,Y,N,S,N,N,N,N,0,18,4.8,Cat 3
H,H,H,L,P,L,NT,H,H,L,H,H,NT,NA,N,NT,S,N,N,N,N,60,137,1,Cat 4
H,H,H,NA,H,H,I,H,NT,NT,L,H,NT,0,N,NT,S,N,N,N,N,40,57,0.7,Cat 5
H,NT,H,H,H,H,H,H,NT,NT,ST.OP,H,NT,0,N,NT,S,N,N,N,N,350,420,2.5,Cat 3
L,H,H,H,H,L,I,L,H,L,H,H,NT,0,N,NT,S,N,N,N,N,68,0,0,Cat 5
H,H,H,H,H,H,H,L,H,H,H,H,NT,0,N,NT,S,N,N,N,N,50,134,2.2,Cat 5
H,H,H,L,H,L,L,H,H,H,L,H,NT,0,N,NT,S,Y,N,N,N,200,659,1.8,Cat 4
H,H,H,H,H,H,I,NT,H,H,H,H,N,NA,N,N,S,N,N,N,N,250,720,3.6,Cat 5
H,H,H,H,H,L,L,NT,H,H,H,H,N,NA,N,N,S,N,N,N,N,150,940,4,Cat 4
H,H,H,H,L,H,H,H,H,H,H,H,N,NA,N,N,S,N,N,N,N,300,74,3.8,Cat 5
H,H,H,H,H,H,I,H,H,H,H,H,N,NA,N,N,S,N,N,N,N,400,306,3.9,Cat 5
H,H,L,L,H,H,I,H,H,H,H,H,N,0,N,N,S,N,N,N,N,80,356,5,Cat 5
H,H,H,NA,H,L,L,H,NT,H,H,L,N,NA,N,N,C,,N,N,N,250,1174,2.02,Cat 4
H,H,H,NT,H,L,L,H,H,L,L,H,N,NA,N,N,C,N,N,N,N,400,1046,3,Cat 4
H,H,H,H,L,L,L,H,H,H,H,ST.OP,NT,0,N,NT,C,,N,N,N,230,490,2.5,Cat 4
H,H,H,H,L,H,H,L,NT,H,H,H,NT,NA,N,NT,C,,N,N,N,320,254,6.9,Cat 4
L,H,L,H,L,H,H,L,NT,NT,L,H,Y,0,N,Y,C,,N,N,N,220,1444,4.3,Cat 3
