SV,UMV,LMV,X/T_WV,FL_WV,PHV,THV,THSKV,THSGIV,THSGIHV,GIHV,SSSVStatus,TxA,B Annulus, Natural Flowing,Communication,Complex vs Satellite,Conductor Vibration, Ship Lane Hazard, Structure Problem,Resort Proximity,H2S PPM, BOPD Impact,G.Gas  MMSCFD,RISK Category
H,H,H,L,L,H,H,H,NT,H,L,H,NT,0,N,NT,S,N,N,N,N,400,585,3.7,Cat 4
H,H,H,H,H,H,H,L,H,H,H,H,N,0,N,N,S,N,N,N,N,800,1044,2.8,Cat 5
H,NT,NT,H,H,H,H,H,NT,H,H,H,NT,NT,N,NT,S,N,N,N,N,NT,0,0,Cat 5
H,H,H,H,H,H,H,H,L,H,H,H,NT,0,N,NT,S,N,N,N,N,350,118,5,Cat 5
H,H,H,H,H,H,H,H,H,ST.OP,H,H,Y,NA,N,Y,S,N,N,N,N,420,1846,6,Cat 4
H,H,H,L,H,H,H,L,H,H,H,ST.OP,Y,0,N,Y,S,N,N,N,N,280,136,2.7,Cat 4
H,ST.OP,H,H,H,H,H,H,H,H,H,H,NT,0,N,NT,S,N,N,N,N,550,1562,4.4,Cat 4
H,H,H,H,H,L,H,H,H,NT,H,H,N,0,N,N,S,N,N,N,N,60,88,2.2,Cat 5
L,H,H,H,H,H,H,H,H,H,H,H,N,0,N,N,S,N,N,N,N,600,1467,4.4,Cat 5
H,H,H,H,H,L,L,H,H,L,H,H,N,50,N,N,S,N,N,N,N,40,176,2.4,Cat 4
L,H,H,H,H,H,H,H,L,H,H,H,NT,0,N,NT,S,N,N,N,N,450,389,3.9,Cat 5
L,H,L,H,ST.OP,L,L,L,H,L,H,H,NT,220,N,NT,S,N,N,N,N,220,264,4.7,Cat 4
H,H,H,H,H,L,L,L,H,H,L,H,NT,150,N,NT,S,N,N,N,N,400,192,2.1,Cat 4
L,H,H,H,H,H,H,H,H,L,H,H,NT,0,N,NT,S,N,N,N,N,400,889,2.6,Cat 4
H,L,NT,L,L,H,H,H,H,H,H,H,NT,0,N,NT,S,N,N,N,N,300,376,3.2,Cat 4
H,H,H,L,L,I,NA,H,NT,NT,NT,ST.OP,Y,0,N,Y,C,,N,N,N,NT,149,2.7,Cat 3
H,H,H,L,H,H,NA,NT,NT,NA,NA,H,N,0,N,N,C,Y,N,N,N,150,73,2.3,Cat 4
H,L,H,NA,L,L,I,H,NT,H,H,ST.OP,N,NA,N,N,C,N,N,N,N,800,245,12.7,Cat 3
H,L,H,NA,H,L,NA,H,NT,NA,NA,H,Y,NT,N,Y,C,,N,N,N,600,220,15.6,Cat 3
H,L,H,H,L,H,NA,NT,L,L,L,ST.OP,Y,NT,N,Y,C,,N,N,N,750,83,4.3,Cat 3
H,H,L,NA,H,H,NA,NT,NT,NA,NA,P,N,0,N,N,C,,N,N,N,400,923,7.9,Cat 4
H,H,H,NA,H,H,NA,NT,NT,NA,H,NA,N,NT,N,N,C,,N,N,N,400,0,0,Cat 5
H,L,L,NA,H,H,NA,NT,H,L,H,H,Y,250,N,Y,C,N,N,N,N,450,277,6.2,Cat 3
NT,NT,NT,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NT,N,Y,C,,N,N,N,450,0,0,Cat 3
L,L,H,NA,L,L,NA,H,NT,NT,ST.OP,ST.OP,Y,NT,N,Y,C,N,N,N,N,600,577,3.6,Cat 3
L,L,L,NA,ST.OP,NT,NA,NT,NT,NA,NA,ST.OP,Y,NT,N,Y,C,N,N,N,N,500,131,8,Cat 3
H,H,H,NA,NA,NT,NA,NA,NA,NA,ST.OP,NA,Y,NT,N,Y,C,,N,N,N,500,131,8,Cat 3
H,H,H,H,L,H,H,H,H,H,H,H,Y,0,N,Y,S,N,N,N,N,300,780,3.6,Cat 4
H,H,H,L,H,H,H,H,H,H,H,H,N,NA,N,N,S,N,N,N,N,600,546,1.9,Cat 5
H,L,L,H,L,L,L,NT,H,H,H,H,N,0,N,N,S,N,N,N,N,150,202,5.1,Cat 3
H,H,H,NA,L,L,L,H,H,L,H,H,Y,NA,N,Y,S,N,N,N,N,110,31,1.1,Cat 5
H,H,L,H,NA,L,L,H,H,H,H,H,NT,0,N,NT,S,N,N,N,N,500,1009,10.6,Cat 4
NA,NA,H,NA,NT,L,L,NA,NA,NA,NA,P,Y,NA,N,Y,S,N,N,N,N,200,0,0,Cat 3
NA,NA,L,NA,NA,L,L,NA,NA,NA,H,NA,Y,400,N,Y,S,N,N,N,N,200,112,5.5,Cat 3
H,H,H,H,H,H,H,H,H,H,H,H,N,50,Y,N,S,N,N,N,N,200,581,3.1,Cat 3
H,H,H,NA,H,H,H,H,H,H,H,H,N,NA,N,N,S,N,N,N,N,300,316,3.7,Cat 5
H,H,H,NA,H,H,H,H,H,H,H,H,N,0,N,N,S,N,N,N,N,160,380,2.8,Cat 5
H,H,H,H,I,I,I,H,I,I,I,H,N,620,N,N,S,N,N,N,N,100,378,3.2,Cat 5
L,H,H,H,H,H,H,P,H,H,H,H,Y,0,N,Y,S,N,N,N,N,90,322,2,Cat 4
H,H,H,H,H,H,H,H,H,L,H,H,N,0,N,N,S,N,N,N,N,200,251,5.1,Cat 4
H,H,H,H,H,H,H,H,H,L,H,H,N,0,Y,N,S,N,N,N,N,140,996,2,Cat 3
H,H,H,H,H,H,H,H,H,H,H,H,N,0,Y,N,S,N,N,N,N,180,730,2.4,Cat 3
H,H,H,H,H,H,H,H,H,L,H,H,N,NA,Y,N,S,N,N,N,N,250,444,2.2,Cat 3
H,H,H,H,H,H,H,H,H,H,H,H,N,0,N,N,S,N,N,N,N,200,916,4.9,Cat 5
H,H,H,NA,H,H,H,H,H,H,H,H,N,NA,Y,N,S,N,N,N,N,300,869,4.8,Cat 3
H,H,H,H,H,H,L,L,NT,H,H,H,N,0,Y,N,S,N,N,N,N,180,1539,2.1,Cat 3
H,H,H,L,H,H,H,L,H,NA,H,ST.OP,NT,NA,N,NT,S,N,N,N,N,40,903,4.8,Cat 4
H,H,L,I,I,I,I,H,H,NA,H,H,NT,0,Y,NT,S,N,N,N,N,5,41,2.9,Cat 3
